"naive product"
50 0.009998
100 0.020996
150 0.06499
200 0.148978
250 0.251962
300 1.502772
350 1.888712
400 3.085531
450 3.386485
500 4.747279
550 5.161215
600 6.676985
650 5.473168
700 6.092074
750 14.943728
800 13.09201
850 14.789751
900 18.492188
950 15.565634
1000 18.671161


"crossover = 16"
50 0.006999
100 0.033995
150 0.151977
200 0.20097
250 0.466929
300 1.273807
350 1.874715
400 1.821723
450 2.990545
500 3.576456
550 5.72213
600 7.139915
650 8.545701
700 11.606236
750 13.427958
800 11.526247
850 16.339516
900 16.736455
950 23.180476
1000 22.525576


"crossover = 32"
50 0.006999
100 0.031995
150 0.109983
200 0.176973
250 0.413938
300 0.91986
350 1.591758
400 1.659747
450 2.519617
500 3.329494
550 5.175214
600 5.59115
650 7.82581
700 9.573545
750 12.422112
800 10.25944
850 12.819051
900 15.126701
950 18.854134
1000 20.71885


"crossover = 64"
50 0.007999
100 0.023997
150 0.083987
200 0.158975
250 0.300954
300 0.551916
350 1.240812
400 1.468777
450 2.094681
500 2.219663
550 4.895256
600 4.027388
650 6.039082
700 7.871803
750 10.297435
800 9.376575
850 11.783209
900 14.111855
950 17.744303
1000 16.219534


"crossover = 128"
50 0.006999
100 0.022996
150 0.06399
200 0.146978
250 0.247962
300 0.479927
350 0.775882
400 1.201817
450 1.666747
500 2.082684
550 3.585455
600 3.788424
650 5.731129
700 5.830114
750 8.198754
800 8.347731
850 11.006327
900 11.341276
950 14.778753
1000 14.849743


"crossover = 256"
50 0.006999
100 0.023997
150 0.06299
200 0.151977
250 0.248962
300 1.58376
350 2.504619
400 2.904559
450 3.431478
500 4.6043
550 2.488622
600 3.051536
650 4.719282
700 6.355033
750 6.377031
800 7.456867
850 8.937642
900 10.689375
950 12.869043
1000 15.616626


"crossover = 512"
50 0.007999
100 0.023997
150 0.062991
200 0.144978
250 0.247963
300 1.541766
350 2.490621
400 2.949552
450 3.697438
500 4.366336
550 5.099225
600 7.017933
650 5.528159
700 6.171061
750 15.204689
800 13.003024
850 14.503795
900 18.349211
950 16.4405
1000 18.541181


